Frequency (Hz)	Level (dB)
4866.503906	-65.540268
4877.270508	-65.772110
4888.037109	-66.114029
4898.803711	-66.515823
4909.570312	-70.579887
4920.336914	-67.666245
4931.103516	-65.508827
4941.870117	-63.970848
4952.636719	-64.998016
4963.403320	-69.536560
4974.169922	-69.606270
4984.936523	-70.989838
4995.703125	-67.753914
5006.469727	-62.611031
5017.236328	-61.824398
5028.002930	-63.382809
5038.769531	-64.618431
5049.536133	-64.544449
5060.302734	-62.691769
5071.069336	-64.480003
5081.835938	-63.868622
5092.602539	-60.980816
5103.369141	-61.090706
5114.135742	-65.771378
5124.902344	-67.058815
5135.668945	-64.817398
5146.435547	-67.872444
5157.202148	-72.613777
5167.968750	-67.239685
5178.735352	-63.573696
5189.501953	-62.510387
5200.268555	-65.538628
5211.035156	-67.949371
5221.801758	-65.685547
5232.568359	-63.593727
5243.334961	-63.608387
5254.101562	-63.035336
5264.868164	-68.040695
5275.634766	-73.025093
5286.401367	-64.690697
5297.167969	-65.419243
5307.934570	-65.902649
5318.701172	-63.987812
5329.467773	-67.357178
5340.234375	-68.554024
5351.000977	-69.226547
5361.767578	-65.325287
5372.534180	-65.446243
5383.300781	-69.314415
5394.067383	-64.566170
5404.833984	-65.095787
5415.600586	-65.067299
5426.367188	-65.890396
5437.133789	-64.131508
5447.900391	-62.313625
5458.666992	-65.175156
5469.433594	-62.472122
5480.200195	-63.046539
5490.966797	-65.821915
5501.733398	-63.249634
5512.500000	-64.920410
5523.266602	-66.256218
5534.033203	-68.001724
5544.799805	-67.528275
5555.566406	-68.173172
5566.333008	-62.880592
5577.099609	-65.212242
5587.866211	-67.131897
5598.632812	-68.088165
5609.399414	-64.175117
5620.166016	-63.581070
5630.932617	-62.823532
5641.699219	-62.646523
5652.465820	-66.932831
5663.232422	-69.546158
5673.999023	-65.656845
5684.765625	-64.690094
5695.532227	-64.004654
5706.298828	-67.163513
5717.065430	-64.031517
5727.832031	-63.353519
5738.598633	-63.138168
5749.365234	-63.882374
5760.131836	-67.312401
5770.898438	-65.477844
5781.665039	-65.298569
5792.431641	-63.569878
5803.198242	-64.084503
5813.964844	-69.784286
5824.731445	-65.425873
5835.498047	-65.192909
5846.264648	-67.770180
5857.031250	-62.687523
5867.797852	-61.471027
5878.564453	-65.072891
5889.331055	-68.980255
5900.097656	-65.880722
5910.864258	-64.346558
5921.630859	-66.899094
5932.397461	-70.935448
5943.164062	-67.344223
5953.930664	-66.668655
5964.697266	-65.994263
5975.463867	-62.858322
5986.230469	-62.246914
5996.997070	-65.531929
6007.763672	-66.939262
6018.530273	-65.063049
6029.296875	-65.429337
6040.063477	-66.962311
6050.830078	-63.903687
6061.596680	-64.066391
6072.363281	-67.022285
6083.129883	-67.820023
6093.896484	-64.316414
6104.663086	-63.250431
6115.429688	-61.976433
6126.196289	-63.378777
6136.962891	-65.765022
6147.729492	-67.805199
6158.496094	-67.472908
6169.262695	-68.711060
6180.029297	-65.483536
6190.795898	-68.283089
6201.562500	-67.398071
6212.329102	-62.993599
6223.095703	-63.088551
6233.862305	-65.009758
6244.628906	-65.921806
6255.395508	-64.101143
6266.162109	-67.229752
6276.928711	-71.716324
6287.695312	-66.192253
6298.461914	-63.167919
6309.228516	-63.768990
6319.995117	-63.224312
6330.761719	-61.752720
6341.528320	-63.252888
6352.294922	-65.234344
6363.061523	-64.551262
6373.828125	-63.041286
6384.594727	-63.509907
6395.361328	-65.066406
6406.127930	-64.941437
6416.894531	-65.301315
6427.661133	-64.524284
6438.427734	-63.354794
6449.194336	-63.704552
6459.960938	-64.881454
6470.727539	-69.781326
6481.494141	-65.108620
6492.260742	-62.800602
6503.027344	-63.377682
6513.793945	-62.999729
6524.560547	-62.723068
6535.327148	-65.880402
6546.093750	-64.556381
6556.860352	-63.135963
6567.626953	-64.458069
6578.393555	-62.566078
6589.160156	-61.156025
6599.926758	-62.269043
6610.693359	-65.636642
6621.459961	-65.774445
6632.226562	-65.426735
6642.993164	-67.822632
6653.759766	-73.101868
6664.526367	-71.801704
6675.292969	-73.077568
6686.059570	-67.230446
6696.826172	-63.682018
6707.592773	-66.687485
6718.359375	-65.488686
6729.125977	-65.991615
6739.892578	-65.213669
6750.659180	-63.929382
6761.425781	-66.908722
6772.192383	-69.384972
6782.958984	-65.426491
6793.725586	-67.974434
6804.492188	-65.946114
6815.258789	-65.811600
6826.025391	-63.544441
6836.791992	-61.504250
6847.558594	-65.063820
6858.325195	-68.822472
6869.091797	-66.196762
6879.858398	-64.394318
6890.625000	-63.673664
6901.391602	-67.013756
6912.158203	-67.189842
6922.924805	-62.035210
6933.691406	-63.637905
6944.458008	-64.905083
6955.224609	-64.884926
6965.991211	-65.136154
6976.757812	-61.821457
6987.524414	-61.880867
6998.291016	-67.692535
7009.057617	-69.418335
7019.824219	-68.141541
7030.590820	-65.543671
7041.357422	-67.910797
7052.124023	-68.411324
7062.890625	-73.604416
7073.657227	-69.483459
7084.423828	-68.848793
7095.190430	-68.620895
7105.957031	-68.331299
7116.723633	-62.640793
7127.490234	-63.650257
7138.256836	-66.555122
7149.023438	-65.328522
7159.790039	-63.410553
7170.556641	-66.951035
7181.323242	-71.237564
7192.089844	-67.852562
7202.856445	-65.907166
7213.623047	-63.345203
7224.389648	-64.174446
7235.156250	-63.297035
7245.922852	-65.587639
7256.689453	-67.127975
7267.456055	-64.795082
7278.222656	-67.397949
7288.989258	-63.467133
7299.755859	-61.731144
7310.522461	-63.280251
7321.289062	-66.181793
7332.055664	-66.280762
7342.822266	-65.341133
7353.588867	-65.309647
7364.355469	-65.857384
7375.122070	-66.262329
7385.888672	-67.083366
7396.655273	-66.034515
7407.421875	-66.358749
7418.188477	-71.332626
7428.955078	-68.161339
7439.721680	-67.054581
7450.488281	-68.432274
7461.254883	-68.680771
7472.021484	-69.839211
7482.788086	-71.510742
7493.554688	-68.305084
7504.321289	-67.168533
7515.087891	-68.693954
7525.854492	-66.464958
7536.621094	-63.635338
7547.387695	-66.341164
7558.154297	-68.774551
7568.920898	-64.542892
7579.687500	-62.829700
7590.454102	-64.251648
7601.220703	-64.901855
7611.987305	-68.007057
7622.753906	-72.673218
7633.520508	-70.125389
7644.287109	-66.094795
7655.053711	-65.692085
7665.820312	-65.610184
7676.586914	-70.574181
7687.353516	-66.965523
7698.120117	-68.589600
7708.886719	-68.098969
7719.653320	-62.144867
7730.419922	-61.230583
7741.186523	-65.716194
7751.953125	-67.892227
7762.719727	-68.241486
7773.486328	-64.156578
7784.252930	-61.623661
7795.019531	-63.226658
7805.786133	-65.438324
7816.552734	-68.175049
7827.319336	-67.388107
7838.085938	-67.473869
7848.852539	-68.003990
7859.619141	-64.837326
7870.385742	-62.104179
7881.152344	-66.118774
7891.918945	-67.373840
7902.685547	-65.028618
7913.452148	-68.508995
7924.218750	-69.831612
7934.985352	-64.895416
7945.751953	-64.350723
7956.518555	-68.785896
7967.285156	-69.315979
7978.051758	-65.187141
7988.818359	-65.987541
7999.584961	-67.400169
8010.351562	-65.322754
8021.118164	-65.869453
8031.884766	-64.251785
8042.651367	-63.858181
8053.417969	-67.146507
8064.184570	-64.552856
8074.951172	-67.291840
8085.717773	-69.033562
8096.484375	-63.123478
8107.250977	-61.835114
8118.017578	-66.451302
8128.784180	-68.644363
8139.550781	-67.694099
8150.317383	-66.059654
8161.083984	-68.574806
8171.850586	-68.153099
8182.617188	-65.281105
8193.383789	-67.168976
8204.150391	-69.532227
8214.916992	-70.881516
8225.683594	-70.056335
8236.450195	-68.056686
8247.216797	-68.207748
8257.983398	-66.507332
8268.750000	-64.054802
8279.516602	-64.474846
8290.283203	-65.587563
8301.049805	-65.759926
8311.816406	-69.305794
8322.583008	-67.460831
8333.349609	-66.280693
8344.116211	-64.923241
8354.882812	-64.703461
8365.649414	-70.763100
8376.416016	-69.032707
8387.182617	-63.208916
8397.949219	-64.323578
8408.715820	-65.599159
8419.482422	-63.463669
8430.249023	-63.984001
8441.015625	-67.336433
8451.782227	-67.178032
8462.548828	-67.593536
8473.315430	-63.405418
8484.082031	-64.782036
8494.848633	-65.792038
8505.615234	-64.525795
8516.381836	-71.235260
8527.148438	-63.623844
8537.915039	-64.201164
8548.681641	-69.669594
8559.448242	-72.464417
8570.214844	-69.769371
8580.981445	-68.288071
8591.748047	-68.733948
8602.514648	-67.063026
8613.281250	-67.857040
8624.047852	-65.256042
8634.814453	-69.013405
8645.581055	-67.456009
8656.347656	-67.320625
8667.114258	-67.507027
8677.880859	-66.884003
8688.647461	-71.735275
8699.414062	-66.268639
8710.180664	-67.364784
8720.947266	-64.063622
8731.713867	-64.485184
8742.480469	-66.459618
8753.247070	-65.627663
8764.013672	-67.142525
8774.780273	-66.631531
8785.546875	-67.215179
8796.313477	-67.292976
8807.080078	-64.005608
8817.846680	-63.897602
8828.613281	-63.239792
8839.379883	-64.687096
8850.146484	-67.198006
8860.913086	-70.155487
8871.679688	-66.373795
8882.446289	-72.196678
8893.212891	-70.744560
8903.979492	-69.104530
8914.746094	-67.705421
8925.512695	-65.029137
8936.279297	-63.343452
8947.045898	-68.798988
8957.812500	-68.003548
8968.579102	-65.855042
8979.345703	-68.104057
8990.112305	-63.825405
9000.878906	-62.836586
9011.645508	-69.906891
9022.412109	-66.632339
9033.178711	-65.656693
9043.945312	-69.000046
9054.711914	-70.697090
9065.478516	-68.363693
9076.245117	-65.184425
9087.011719	-64.007889
9097.778320	-66.160118
9108.544922	-67.358864
9119.311523	-69.013367
9130.078125	-69.717041
9140.844727	-69.084335
9151.611328	-67.404610
9162.377930	-66.385551
9173.144531	-65.829803
9183.911133	-65.778549
9194.677734	-64.788483
9205.444336	-65.274910
9216.210938	-62.524349
9226.977539	-63.136486
9237.744141	-64.673096
9248.510742	-65.214233
9259.277344	-64.671356
9270.043945	-67.311226
9280.810547	-67.712120
9291.577148	-69.584419
9302.343750	-69.114388
9313.110352	-65.034332
9323.876953	-68.445168
9334.643555	-65.868683
9345.410156	-66.015701
9356.176758	-66.725067
9366.943359	-69.920601
9377.709961	-66.172241
9388.476562	-66.837143
9399.243164	-71.047234
9410.009766	-68.785378
9420.776367	-68.862213
9431.542969	-69.377159
9442.309570	-64.377907
9453.076172	-62.399532
9463.842773	-66.854317
9474.609375	-72.163322
9485.375977	-67.796967
9496.142578	-66.444756
9506.909180	-68.339439
9517.675781	-66.216789
9528.442383	-65.640503
9539.208984	-65.265717
9549.975586	-66.342003
9560.742188	-70.736565
9571.508789	-68.367874
9582.275391	-66.395363
9593.041992	-66.618256
9603.808594	-65.025101
9614.575195	-65.013077
9625.341797	-68.271515
9636.108398	-73.304054
9646.875000	-68.287910
9657.641602	-67.913277
9668.408203	-64.705803
9679.174805	-66.630951
9689.941406	-66.331177
9700.708008	-66.404793
9711.474609	-64.128365
9722.241211	-64.221893
9733.007812	-64.757835
9743.774414	-65.717972
9754.541016	-67.735741
9765.307617	-67.141663
9776.074219	-69.961403
9786.840820	-67.745544
9797.607422	-67.623131
9808.374023	-67.514038
9819.140625	-66.543541
9829.907227	-65.063438
9840.673828	-66.639206
9851.440430	-68.807068
9862.207031	-70.860184
9872.973633	-68.470406
9883.740234	-68.103546
9894.506836	-65.776649
9905.273438	-68.182930
9916.040039	-66.335114
9926.806641	-66.684937
9937.573242	-66.318169
9948.339844	-68.078148
9959.106445	-66.011353
9969.873047	-65.105515
9980.639648	-63.291248
9991.406250	-66.922974
10002.172852	-66.174820
10012.939453	-66.541763
10023.706055	-69.049484
10034.472656	-66.703423
10045.239258	-66.092499
10056.005859	-64.235710
10066.772461	-64.903885
10077.539062	-64.099060
10088.305664	-66.158066
10099.072266	-71.068901
10109.838867	-72.122391
10120.605469	-71.549599
10131.372070	-68.898315
10142.138672	-67.136856
10152.905273	-65.714729
10163.671875	-69.027664
10174.438477	-69.474945
10185.205078	-69.766273
10195.971680	-67.047394
10206.738281	-66.161819
10217.504883	-68.959343
10228.271484	-65.818733
10239.038086	-65.030533
10249.804688	-64.903076
10260.571289	-65.746674
10271.337891	-67.129082
10282.104492	-66.307060
10292.871094	-68.704071
10303.637695	-66.456833
10314.404297	-68.294594
10325.170898	-66.476692
10335.937500	-67.354401
10346.704102	-65.363647
10357.470703	-64.541351
10368.237305	-66.196754
10379.003906	-64.165848
10389.770508	-65.443436
10400.537109	-66.383904
10411.303711	-67.730064
10422.070312	-67.124451
10432.836914	-74.128166
10443.603516	-74.603661
10454.370117	-71.338623
10465.136719	-68.003670
10475.903320	-66.982445
10486.669922	-68.990280
10497.436523	-71.650810
10508.203125	-66.507256
10518.969727	-63.386265
10529.736328	-63.433605
10540.502930	-66.193596
10551.269531	-68.939705
10562.036133	-68.226494
10572.802734	-68.135918
10583.569336	-68.731316
10594.335938	-64.018402
10605.102539	-66.558220
10615.869141	-70.530510
10626.635742	-69.942184
10637.402344	-69.050217
10648.168945	-69.031952
10658.935547	-66.822784
10669.702148	-65.472992
10680.468750	-66.279007
10691.235352	-63.422428
10702.001953	-65.059319
10712.768555	-68.768806
10723.535156	-66.705444
10734.301758	-68.886208
10745.068359	-67.299667
10755.834961	-67.165329
10766.601562	-67.890633
10777.368164	-72.623665
10788.134766	-71.186211
10798.901367	-70.171394
10809.667969	-68.666405
10820.434570	-67.152847
10831.201172	-67.084236
10841.967773	-73.372940
10852.734375	-70.202179
10863.500977	-70.322525
10874.267578	-67.062706
10885.034180	-65.291039
10895.800781	-67.437057
10906.567383	-68.949020
10917.333984	-68.144554
10928.100586	-67.562584
10938.867188	-67.548798
10949.633789	-67.978394
10960.400391	-64.821449
10971.166992	-64.411957
10981.933594	-65.095322
10992.700195	-65.019279
11003.466797	-65.228554
11014.233398	-66.022652
11025.000000	-65.876183
11035.766602	-66.016754
11046.533203	-65.703827
11057.299805	-67.405258
11068.066406	-68.626724
11078.833008	-68.015953
11089.599609	-64.658867
11100.366211	-65.160995
11111.132812	-67.730408
11121.899414	-68.555733
11132.666016	-68.199135
11143.432617	-66.426994
11154.199219	-65.180855
11164.965820	-65.975204
11175.732422	-63.662334
11186.499023	-65.884491
11197.265625	-67.663284
11208.032227	-66.777649
11218.798828	-66.657784
11229.565430	-68.848511
11240.332031	-68.855179
11251.098633	-67.115425
11261.865234	-66.081551
11272.631836	-67.774544
11283.398438	-66.855034
11294.165039	-69.951759
11304.931641	-69.533257
11315.698242	-64.823570
11326.464844	-64.269157
11337.231445	-71.006561
11347.998047	-67.050148
11358.764648	-65.003258
11369.531250	-69.473495
11380.297852	-75.821007
11391.064453	-72.949402
11401.831055	-69.510803
11412.597656	-69.966293
11423.364258	-64.878616
11434.130859	-67.570747
11444.897461	-67.817657
11455.664062	-67.074364
11466.430664	-69.027962
11477.197266	-66.994980
11487.963867	-67.605797
11498.730469	-69.068939
11509.497070	-69.216354
